,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,228,7,13,- - - EXAMINATION,symbols,,symbols
2,230,7,15,- - -,symbols,,start_question
3,232,7,17,Good morning.  Could you state your full name for the record.,q,MR. BLUM,start_answer
4,234,7,19,Randy Clemens.,a,THE WITNESS,start_question
5,235,7,20,"Good morning, Randy.  Do you mind if I call you Randy throughout the deposition?",q,MR. BLUM,start_answer
6,237,7,22,That's fine.,a,THE WITNESS,start_question
7,238,7,23,"My name is Joseph Blum and I represent Mercedes-Benz in the lawsuit that has been brought by Clemens Cleaning Village and P.R. Clemens Family Partnership. I'm going to ask you a series of questions today.  If at any time you don't understand my question, please tell me right away.  If you don't hear the question, please tell us, we'll be happy to restate it or read it back.",q,MR. BLUM,start_answer
8,249,8,9,Okay.,a,THE WITNESS,start_question
9,250,8,10,"We would ask that you keep all your responses verbal, because the court reporter cannot take down nods of our heads or shrugs of our shoulders. Another thing which we all seem to struggle with is trying to just let each other finish speaking before you start answering or I start asking a new question, because the court reporter has to take everything down, and she can't take both of us down at one time. Do you understand that?",q,MR. BLUM,start_answer
10,262,8,22,Yes.,a,THE WITNESS,start_question
11,263,8,23,Is there anything that would prevent you from accurately testifying today?,q,MR. BLUM,start_answer
12,266,9,1,No.,a,THE WITNESS,start_question
13,267,9,2,"Okay.  Could you tell us your educational background, please?",q,MR. BLUM,start_answer
14,269,9,4,Graduated from Christopher Dock High School.,a,THE WITNESS,start_question
15,271,9,6,"All right.  And after you graduated from high school, can you just tell us basically what your employment history has been?",q,MR. BLUM,start_answer
16,275,9,10,"Worked for Clemens Dry Cleaners for several years, and then when the uniform rental was started, I moved into that.",a,THE WITNESS,start_question
17,278,9,13,Okay.  And approximately when was it that you started at Clemens Dry Cleaners?,q,MR. BLUM,start_answer
18,280,9,15,During high school.,a,THE WITNESS,start_question
19,281,9,16,Okay.  And what year did you graduate from high school?,q,MR. BLUM,start_answer
20,283,9,18,'85.,a,THE WITNESS,start_question
21,284,9,19,All right.  And how many years did you work for the dry cleaner?,q,MR. BLUM,start_answer
22,286,9,21,"1988, so five years.",a,THE WITNESS,start_question
23,287,9,22,Okay.  And in '88 you left the dry cleaner and came to the uniform business?,q,MR. BLUM,start_answer
24,289,9,24,"When we opened this facility, yes.",a,THE WITNESS,start_question
25,291,10,1,Okay.  And I take it that the dry cleaning was a family run business?,q,MR. BLUM,start_answer
26,293,10,3,Correct.,a,THE WITNESS,start_question
27,294,10,4,And was it run by your parents?,q,MR. BLUM,start_answer
28,295,10,5,Correct.,a,THE WITNESS,start_question
29,296,10,6,And does the dry cleaning business still operate today?,q,MR. BLUM,start_answer
30,298,10,8,No.,a,THE WITNESS,start_question
31,299,10,9,Okay.  When did that stop?,q,MR. BLUM,start_answer
32,300,10,10,Approximately 2007.,a,THE WITNESS,start_question
33,301,10,11,Okay.,q,MR. BLUM,start_answer
34,302,10,12,Approximately.,a,THE WITNESS,start_question
35,303,10,13,"And when you came here in 1988 to the -- I'll call it the uniform facility, does that make sense?",q,MR. BLUM,start_answer
36,306,10,16,Yes.,a,THE WITNESS,start_question
37,307,10,17,Was that the first time that the family had gotten into the business of like a uniform business?,q,MR. BLUM,start_answer
38,310,10,20,No.,a,THE WITNESS,start_question
39,311,10,21,Okay.  How long had the uniform business been operating before that?,q,MR. BLUM,start_answer
40,313,10,23,"Two years, 1986.",a,THE WITNESS,start_question
41,314,10,24,And where was it located before it came here to the facility we're sitting at today?,q,MR. BLUM,start_answer
42,318,11,3,In the dry cleaning location.,a,THE WITNESS,start_question
43,319,11,4,"Okay.  And just so we're all clear, is it okay with you if I just call this building we're sitting at the 5th Street facility?",q,MR. BLUM,start_answer
44,323,11,8,(Witness shakes head.),a,THE WITNESS,start_question
45,324,11,9,"So for the purposes of your deposition today, did you do anything to prepare?",q,MR. BLUM,start_answer
46,327,11,12,No.,a,THE WITNESS,start_question
