,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," satisfactorily identified and duly sworn by the Notary Public, deposes and states as follows:",,,symbols
1,552,16,8,* * * * * EXAMINATION CONDUCTED,symbols,,start_question
2,555,16,11,"So this is a deposition, sir.  And everything that you and I are saying here today is being recorded and will form the basis of a written transcript.",q,MS. RIORDAN,start_answer
3,559,16,15,Uh-huh.,a,THE WITNESS,start_question
4,560,16,16,"It's pivotal that all of your answers be verbal.  So you can shake your head up and down or left to right and I'm going to know that it's a yes or no, but if you can also say yes and no, it's necessary for the transcript so that we have a recording of what your actual answer is.",q,MS. RIORDAN,start_answer
5,567,16,23,Okay.,a,THE WITNESS,start_question
6,568,16,24,"So don't be offended if I stop you and say, you know, you said uh-huh, is that a yes or is that a no, so I'll try to help you along the way as best I can.",q,MS. RIORDAN,start_answer
7,573,17,4,"I understand, yes.",a,THE WITNESS,start_question
8,574,17,5,"I'd ask that you try to wait until I'm done posing my question before you begin to answer just so that we can try as much as possible to have a clean record. I may have a tendency to linger on on my question, but try to wait until I'm done before you answer.",q,MS. RIORDAN,start_answer
9,581,17,12,Okay.,a,THE WITNESS,start_question
10,582,17,13,"If you're unsure of anything that I'm asking you, I'm happy to rephrase the question. I'm happy to restate the question.  So if you need me to do that, please let me know.",q,MS. RIORDAN,start_answer
11,586,17,17,Okay.,a,THE WITNESS,start_question
12,587,17,18,"If you don't let me know, I'm going to assume that it's safe to assume that you understand the question; do you understand?",q,MS. RIORDAN,start_answer
13,590,17,21,"I understand, yes.",a,THE WITNESS,start_question
14,591,17,22,"If you don't know an answer, don't guess.  You can provide an approximation.  You can provide an estimate, but if you have absolutely no idea, you can say I don't know. All right?",q,MS. RIORDAN,start_answer
15,597,18,3,"Yes, I understand.",a,THE WITNESS,is brackets
16,598,18,4,(Phone interruption.),brackets,,start_question
17,599,18,5,"And lastly, Mr. Finn, if you need a break at any time, just let us know, and we're happy to do that.  We'll try to go like an hour or so, maybe longer, depending on everyone's stamina, but if you need a break before we officially break, just let me know, and we can do that as well.",q,MS. RIORDAN,start_answer
18,606,18,12,I understand.,a,THE WITNESS,start_question
19,607,18,13,"Sir, can you please state your full name for the record and spell your last name as well.",q,MS. RIORDAN,start_answer
20,610,18,16,"My name is Edward F. Finn, F-I-N-N.",a,THE WITNESS,start_question
21,611,18,17,And we're going to go off the record now so you can provide us with your Social Security number.,q,MS. RIORDAN,is brackets
22,614,18,20,"(Off the record, 10:06 a.m.)",brackets,,is brackets
23,615,18,21,"(Back on the record, 10:07 a.m.)",brackets,,start_question
24,616,18,22,"So Mr. Finn, the last four digits of your Social Security number that you gave off the record is 2589?",q,MS. RIORDAN,start_answer
